estado;data;obitos
Paraíba;2017/05/01;2016
Pará;2017/05/01;1003
Pernambuco;2017/05/01;5384
Piauí;2017/05/01;651
Rio Grande do Norte;2017/05/01;1019
Rio Grande do Sul;2017/05/01;6827
Rio de Janeiro;2017/05/01;5545
Rondônia;2017/05/01;748
Roraima;2017/05/01;173
Santa Catarina;2017/05/01;3337
Sergipe;2017/05/01;1164
São Paulo;2017/05/01;27236
Tocantins;2017/05/01;447
Acre;2017/06/01;287
Alagoas;2017/06/01;1221
Amapá;2017/06/01;218
Amazonas;2017/06/01;412
Bahia;2017/06/01;4986
Ceará;2017/06/01;3292
Distrito Federal;2017/06/01;1221
Espírito Santo;2017/06/01;2132
Goiás;2017/06/01;2539
Maranhão;2017/06/01;549
Mato Grosso;2017/06/01;1370
Mato Grosso do Sul;2017/06/01;1390
Minas Gerais;2017/06/01;12208
Paraná;2017/06/01;6758
Paraíba;2017/06/01;1888
Pará;2017/06/01;986
Pernambuco;2017/06/01;5152
Piauí;2017/06/01;604
Rio Grande do Norte;2017/06/01;871
Rio Grande do Sul;2017/06/01;7388
Rio de Janeiro;2017/06/01;5277
Rondônia;2017/06/01;687
Roraima;2017/06/01;178
Santa Catarina;2017/06/01;3417
Sergipe;2017/06/01;1016
São Paulo;2017/06/01;26317
Tocantins;2017/06/01;380
Acre;2017/07/01;331
Alagoas;2017/07/01;1166
Amapá;2017/07/01;208
Amazonas;2017/07/01;302
Bahia;2017/07/01;5487
Ceará;2017/07/01;3211
Distrito Federal;2017/07/01;1264
Espírito Santo;2017/07/01;2224
Goiás;2017/07/01;2863
Maranhão;2017/07/01;547
Mato Grosso;2017/07/01;1502
Mato Grosso do Sul;2017/07/01;1356
Minas Gerais;2017/07/01;12921
Paraná;2017/07/01;7202
Paraíba;2017/07/01;2172
Pará;2017/07/01;987
Pernambuco;2017/07/01;5621
Piauí;2017/07/01;579
Rio Grande do Norte;2017/07/01;853
Rio Grande do Sul;2017/07/01;6361
Rio de Janeiro;2017/07/01;5475
Rondônia;2017/07/01;467
Roraima;2017/07/01;193
Santa Catarina;2017/07/01;3375
Sergipe;2017/07/01;1137
São Paulo;2017/07/01;27542
Tocantins;2017/07/01;393
Acre;2017/08/01;355
Alagoas;2017/08/01;1234
Amapá;2017/08/01;252
Amazonas;2017/08/01;323
Bahia;2017/08/01;5594
Ceará;2017/08/01;3266
Distrito Federal;2017/08/01;1303
Espírito Santo;2017/08/01;2317
Goiás;2017/08/01;2757
Maranhão;2017/08/01;641
Mato Grosso;2017/08/01;1413
Mato Grosso do Sul;2017/08/01;1399
Minas Gerais;2017/08/01;13026
Paraná;2017/08/01;6895
Paraíba;2017/08/01;2103
Pará;2017/08/01;1007
Pernambuco;2017/08/01;5351
